,Station Name,Street Address,City,State,ZIP,Latitude,Longitude,EV Network,EV Connector Types
0,LADWP - Truesdale Center,11797 Truesdale St,Sun Valley,CA,91352,34.2483191527193,-118.3879713743439,SHELL_RECHARGE,"CHADEMO,J1772,J1772COMBO"
1,Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015,34.040539,-118.271387,Non-Networked,J1772
2,LADWP - John Ferraro Building,111 N Hope St,Los Angeles,CA,90012,34.059133,-118.248589,Non-Networked,"CHADEMO,J1772,J1772COMBO"
3,LADWP - Haynes Power Plant,6801 E 2nd St,Long Beach,CA,90803,33.759802,-118.096665,Non-Networked,"CHADEMO,J1772,J1772COMBO"
4,LADWP - Harbor Generating Station,161 N Island Ave,Wilmington,CA,90744,33.770508,-118.265628,Non-Networked,J1772
5,LADWP - Sylmar West,13201 Sepulveda Blvd,Sylmar,CA,91342,34.30309,-118.480505,Non-Networked,J1772
6,LADWP - EV Service Center,1630 N Main St,Los Angeles,CA,90012,34.066801,-118.227605,Non-Networked,"CHADEMO,J1772"
7,LADWP - Fairfax Center,2311 S Fairfax Ave,Los Angeles,CA,90016,34.036777,-118.368841,Non-Networked,J1772
8,LADWP - Palmetto Center,1212 Palmetto St,Los Angeles,CA,90013,34.039736,-118.236065,Non-Networked,J1772
9,Scripps Green Hospital,10666 N Torrey Pines Rd,La Jolla,CA,92037,32.89947,-117.243,Non-Networked,J1772
10,Galpin Motors,15421 Roscoe Blvd,Sepulveda,CA,91343,34.221665,-118.468371,Non-Networked,J1772
11,Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,92503,33.909914,-117.459053,Non-Networked,J1772
12,City of Pasadena - Holly Street Garage,150 E Holly St,Pasadena,CA,91103,34.14762,-118.147111,Non-Networked,J1772
13,City of Pasadena - De Lacey Garage,45 De Lacey Ave,Pasadena,CA,91105,34.145138,-118.152655,Non-Networked,J1772
14,City of Pasadena - Schoolhouse Garage,33 E Green St,Pasadena,CA,91105,34.145119,-118.150133,Non-Networked,J1772
15,Bristol Farms,606 Fair Oaks Ave,South Pasadena,CA,91030,34.118433,-118.149597,Non-Networked,
16,Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,CA,90802,33.7637,-118.192,Non-Networked,J1772
17,Los Angeles International Airport (LAX) - Lot 6,1 World Way,Los Angeles,CA,90045,33.94325,-118.403342,Non-Networked,J1772
18,Northridge Fashion Center East Garage Lower Level,9301 Tampa Ave,Northridge,CA,91324,34.238716,-118.554686,SHELL_RECHARGE,J1772
19,Ontario Airport Hotel and Conference Center,700 N Haven Ave,Ontario,CA,91764,34.07122,-117.575,Non-Networked,J1772
20,Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,Oxnard,CA,93030,34.228315,-119.170865,Non-Networked,J1772
21,Hilton - Palm Springs,400 E Tahquitz Canyon Way,Palm Springs,CA,92262,33.824004,-116.543589,Non-Networked,J1772
22,Inland Empire Foods,5425 Wilson St,Riverside,CA,92509,34.0189,-117.38,Non-Networked,J1772
23,Sacramento International Airport - Daily A Lot,Lindbergh Dr,Sacramento,CA,95837,38.69005,-121.58889,Non-Networked,J1772
24,City of Santa Monica - Airport,3223 Donald Douglas Loop,Santa Monica,CA,90405,34.017081,-118.44704,Non-Networked,J1772
25,City of Santa Monica - Pier,200 Santa Monica Pier,Santa Monica,CA,90405,34.010021,-118.49583,Non-Networked,J1772
26,Westfield Parking Garage 1st Floor,14006 Riverside Dr,Sherman Oaks,CA,91423,34.156407,-118.438965,SHELL_RECHARGE,J1772
27,Universal City Hilton,555 Universal Hollywood Dr,Universal City,CA,91608,34.13722,-118.35835,Non-Networked,"J1772,NEMA520"
28,Office Max - Home Depot,7075 Firestone Blvd,Downey,CA,90241,33.94756,-118.153806,Non-Networked,J1772
29,Hyatt at Fisherman's Wharf,555 N Point St,San Francisco,CA,94133,37.80619,-122.4152,Non-Networked,J1772
30,Arden Fair Mall,1689 Arden Way,Sacramento,CA,95815,38.599693,-121.427045,Non-Networked,J1772
31,Japan Center Garage,1610 Geary Blvd,San Francisco,CA,94115,37.784912,-122.430237,Non-Networked,
32,Palace Hotel,2 New Montgomery St,San Francisco,CA,94105,37.78881,-122.401,Non-Networked,J1772
33,Mark Hopkins InterContinental Hotel,999 California St,San Francisco,CA,94108,37.791791,-122.411265,Non-Networked,J1772
34,California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,34.248959,-118.523887,Non-Networked,J1772
35,California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,34.241687,-118.528543,Non-Networked,J1772
36,California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,34.236853,-118.532588,Non-Networked,J1772
37,Los Angeles Harbor Department Headquarters,425 S Palos Verdes St,San Pedro,CA,90731,33.740758,-118.28192,Non-Networked,J1772
38,Getty Center,1200 Getty Center Dr,Los Angeles,CA,90049,34.077588,-118.474585,Non-Networked,"J1772,NEMA520"
