Run,Best Fitness,Time (s),Coordinates
1,30.12899363431074,126.0677399635315,"[(33.803461171300015, -116.39797758541059), (35.31072896054642, -120.49049590907931), (38.17002198514047, -121.82953827686353), (38.16429122590943, -121.55540379239959), (33.5122901168986, -116.55992408337156), (35.37528048298677, -119.83410770586823), (38.32782322779537, -122.36701891739975), (38.61902186927395, -120.57977606217466), (34.797378662749225, -119.62950168369098), (33.15617647579789, -116.89662255182061)]"
2,42.5557435988599,123.61693406105042,"[(37.592407246694904, -121.40984720165288), (39.047062446001036, -121.385089924384), (39.643332361628616, -123.08396750185965), (35.065099270593656, -118.81153489040331), (38.01725899957822, -122.82869223195085), (38.148435614109445, -121.53839707595137), (38.99302341063452, -120.99167721714942), (34.203456352758224, -117.39008766867876), (37.90554120538416, -121.45553411173299), (34.85869757496585, -119.28837765879902)]"
3,30.98812450530631,122.14345598220825,"[(38.418033176338355, -120.94509629244857), (38.20386762407061, -121.92253150257075), (37.499664910335014, -122.3976216810686), (34.55047708404255, -119.68024575151325), (37.307893530346306, -121.71325243690421), (38.83543798032824, -121.52323781441451), (38.81592693330442, -121.59826127664671), (39.196911487182405, -122.92737213232914), (39.58581128580857, -123.09182016768132), (38.9793961647137, -123.60342407619385)]"
4,43.9434463409935,127.18639588356018,"[(38.57931770014686, -120.48844276081934), (35.03318991078673, -120.10897252427173), (38.93657153971616, -123.16962907790497), (35.508361858893416, -120.65172739840662), (34.69835830456541, -118.73048866529845), (36.01184130003572, -120.20346564397423), (34.4203974594941, -117.25054423316942), (33.011613482863574, -117.20919423974686), (37.47051317673287, -121.66290030729564), (34.878923699458504, -120.4444027906354)]"
5,42.28809491848379,110.63508009910583,"[(33.24511983475025, -117.27430093569716), (40.01834495593998, -121.63088414252775), (37.294425757181, -122.20505026157966), (34.05541985530016, -116.07893291338698), (33.56716430769121, -117.43780146764847), (34.1296568872788, -117.38839983877762), (38.34956920393322, -122.17043004138858), (37.37429268426145, -122.3508628459335), (38.829256993882446, -120.92557238577047), (37.52400207245152, -122.08575427781999)]"
6,42.069045509153376,112.19873905181885,"[(34.34903565697908, -118.60439447682552), (38.84545353356509, -121.06891844375474), (35.69784300224378, -119.87431378584627), (35.31975303990157, -118.3236708714069), (37.868854670852706, -122.28758010240725), (34.55720149698058, -117.78611587478633), (33.96843997310336, -116.78133377462375), (34.304661825386155, -118.99017318173841), (35.021279493298444, -119.40121229451445), (39.22831929239669, -123.50147658897275)]"
7,44.2018237790672,109.90301299095154,"[(35.581180111030136, -120.36417405702636), (38.07920807084309, -120.79951430878488), (34.74469924811069, -118.21790396827235), (38.786395417761554, -122.81235083516475), (39.363966746079925, -121.08959232665161), (32.93486253420939, -116.52912061276527), (34.48280882183719, -118.1432613733423), (38.29534496778597, -121.3942226222856), (35.091865845930236, -120.62829462175954), (39.00780363480791, -122.93837609324436)]"
8,36.47225895183062,111.45533275604248,"[(34.04529582851948, -117.25390161273317), (37.95546922185839, -122.12109616167429), (34.24136182522072, -117.84227667577468), (34.56322410475051, -119.4105507214247), (38.76040772215321, -120.11144093247104), (34.17190653782792, -117.44585588231227), (39.58488258100643, -121.08922812674572), (39.630532157540486, -123.61321087871471), (38.66469337100431, -120.67881471662379), (38.20227341618535, -120.72954280509201)]"
9,29.951424914491916,112.11555194854736,"[(38.755578294970185, -122.24754309634952), (38.68022542256246, -121.78425957084107), (38.978673436599145, -120.7017930398473), (32.79959273796576, -117.03462215140756), (35.513042628317166, -120.81410871689454), (35.7647255489289, -120.72428236989457), (38.784197220174235, -120.95762768081812), (34.04686356626438, -117.1705206305652), (33.62387966568515, -116.30348173977774), (33.84927038133327, -116.15492130390884)]"
10,58.251345496517004,111.22037506103516,"[(38.77466139654836, -119.77252478722001), (38.46225734209702, -122.0526681847481), (34.66301383739137, -118.98292887215901), (37.462261031689174, -121.33822584957777), (34.71629650269944, -120.03547127258344), (39.29838355440184, -120.85758605424192), (34.13618244929377, -116.6932587750248), (39.685956304390224, -120.91561931421869), (34.05404360112368, -116.15139195964444), (34.59168007099877, -118.34791573326493)]"
