runs,Best fitness(PSO),Best Fitness(GA),Time(s)(PSO),Time(GA),Coordinates
1,129.7765831797836,244.15217844633798,493.5452013015747,1108.158608198166,"PSO: [(np.float64(38.562160180924586), np.float64(-120.2626433150748)), (np.float64(35.894989931247764), np.float64(-121.01564813449622)), (np.float64(36.607056569330574), np.float64(-116.6898844918753)), (np.float64(39.60642188264472), np.float64(-122.32955902464103)), (np.float64(37.735061858132084), np.float64(-119.08808884389603)), (np.float64(36.92011211427357), np.float64(-119.45208945149875)), (np.float64(38.174903334958486), np.float64(-119.17367565618603)), (np.float64(34.88215324801712), np.float64(-117.69746692491371)), (np.float64(38.31950213831945), np.float64(-123.01850542350279)), (np.float64(38.199765530406545), np.float64(-120.01759747203833))]; GA: [(35.97209560194551, -118.91443661107135), (37.30176851421018, -117.62236828740792), (41.81572800383883, -122.78722347934891), (40.82849983096419, -121.52420438637766), (37.41590616377266, -118.3734492213317), (40.3955057092125, -121.64493187052592), (39.90327421095661, -120.08753078290752), (37.02098234798038, -118.23642992083597), (41.34211414875295, -122.86386388191858), (41.606269250609856, -122.10330554922119)]"
2,-10000000000000.0,222.11903393226606,169.22192311286926,1105.2563021183014,"PSO: [(np.float64(35.28764682564796), np.float64(-120.58027819964298)), (np.float64(40.22087999563872), np.float64(-116.54520938319648)), (np.float64(34.77613397920849), np.float64(-118.96995930927653)), (np.float64(41.565018995557296), np.float64(-123.50699299555944)), (np.float64(32.573641461010716), np.float64(-116.50079341086695)), (np.float64(41.719383827966055), np.float64(-116.36083761200526)), (np.float64(38.39822760752598), np.float64(-119.35778167670794)), (np.float64(34.54891861183806), np.float64(-116.21927248361347)), (np.float64(36.08328427187129), np.float64(-116.14639286056769)), (np.float64(41.106930515659535), np.float64(-115.14351919171656))]; GA: [(35.369332609184895, -116.64762679593734), (40.885714336678326, -122.16116015911099), (41.62384933056201, -123.36915040967125), (37.1748640766505, -119.35700647105006), (40.77325843201083, -120.02774283317163), (40.9146350135001, -122.10409044816146), (40.75455403919524, -121.43151858530872), (40.61807916002431, -120.84599129929214), (41.12046023625402, -122.60845329446862), (41.245514468249496, -122.34269116205843)]"
3,142.91519758788084,234.5805824857178,370.1552288532257,1152.4496767520905,"PSO: [(np.float64(36.788428618116654), np.float64(-119.14147640099931)), (np.float64(37.41393304578317), np.float64(-120.361116888725)), (np.float64(35.569399713664374), np.float64(-118.8897036816984)), (np.float64(37.169275335466615), np.float64(-121.1048233333134)), (np.float64(37.28317375991895), np.float64(-122.1689118190967)), (np.float64(37.90868077625454), np.float64(-119.61645723119162)), (np.float64(37.78426208498397), np.float64(-119.04859624493926)), (np.float64(35.686015032190845), np.float64(-118.14876663969983)), (np.float64(38.600126846974106), np.float64(-119.94570430840774)), (np.float64(35.68045449299512), np.float64(-115.74165441810369))]; GA: [(32.760453481774874, -114.78261374675473), (34.4101702083582, -114.8390129074674), (36.63465815298813, -118.84800197966744), (37.43041061778236, -117.81338345580913), (39.700951636712006, -120.61184643522587), (41.898913914517294, -121.29091303012231), (36.8311557853246, -119.76124136209805), (41.3351938641673, -120.06110625739659), (41.9049957685378, -123.83265948680452), (40.86659578030253, -122.480825928349)]"
4,-10000000000000.0,231.2787796668029,497.3798966407776,1127.4897158145905,"PSO: [(np.float64(42.0095), np.float64(-122.67714228235702)), (np.float64(41.259111832715945), np.float64(-121.65719630670021)), (np.float64(38.431382317665786), np.float64(-122.0143889550852)), (np.float64(34.34992470022962), np.float64(-117.74680068069561)), (np.float64(35.09188241911273), np.float64(-118.7726241805465)), (np.float64(38.00690744261094), np.float64(-123.14843472857434)), (np.float64(34.083012903195396), np.float64(-120.83064109156679)), (np.float64(34.945293569155275), np.float64(-122.07947676745965)), (np.float64(41.157467387635535), np.float64(-114.1312)), (np.float64(42.0095), np.float64(-121.98497884800905))]; GA: [(41.306858792897316, -120.51716405685588), (41.951409313759996, -121.93544091404938), (36.32179981717445, -117.7904374659891), (40.594399991944044, -123.17151508114807), (41.65469916788052, -122.33384997082342), (40.36626230003723, -120.02159378522819), (35.95341184724754, -116.85073083043248), (39.82041425867696, -120.03752503679978), (40.827680964241544, -121.63830186965404), (41.08077479193829, -122.00909432443717)]"
5,182.57812545820343,249.8710085735478,626.3698058128357,1145.0912959575653,"PSO: [(np.float64(37.23113609251768), np.float64(-119.98218265972244)), (np.float64(36.931729579556226), np.float64(-118.08660379734788)), (np.float64(38.07494326892782), np.float64(-120.05392040304797)), (np.float64(36.99465073501201), np.float64(-118.13784196678625)), (np.float64(37.55655936621982), np.float64(-120.09345234293814)), (np.float64(39.240747127142285), np.float64(-121.21766203994056)), (np.float64(39.72357839196039), np.float64(-122.06079841853617)), (np.float64(37.09432109311936), np.float64(-117.83436012479369)), (np.float64(35.458683336797044), np.float64(-119.44548047755812)), (np.float64(36.24228591249412), np.float64(-118.43523654975031))]; GA: [(41.68131248117115, -120.19839359556823), (33.692927422109534, -115.39029644590563), (41.97360724799893, -121.49046433295753), (37.317207060174276, -119.39344316565457), (40.39453224524395, -122.18355756396322), (35.07464722639145, -117.59038212558808), (36.588660528889115, -116.85469959979869), (41.82915403474359, -123.74095610224823), (41.61882137409723, -121.23888035914948), (41.778537753113284, -121.1898578181884)]"
6,218.1029276191896,264.40394143644534,902.2600407600403,1186.0866858959198,"PSO: [(np.float64(39.3049169811392), np.float64(-121.4167089301506)), (np.float64(37.04053570795808), np.float64(-118.25081532146083)), (np.float64(35.47955305117834), np.float64(-118.343181564975)), (np.float64(37.03887027880328), np.float64(-118.20164349926645)), (np.float64(41.96820407813713), np.float64(-120.79836580638238)), (np.float64(36.92103879692265), np.float64(-120.3486788718676)), (np.float64(37.675168563134335), np.float64(-118.5182630736097)), (np.float64(37.01564664807209), np.float64(-119.3364459219903)), (np.float64(36.95623202308531), np.float64(-120.56033043762939)), (np.float64(36.68911603589882), np.float64(-118.77262022177645))]; GA: [(41.77864552145357, -121.43571744097495), (41.545385119259535, -121.41215352109029), (41.92899088955123, -120.41507324140122), (41.70584216787851, -121.9265601115512), (39.29331576840403, -121.79754735192857), (36.778751625408105, -117.86238126308785), (37.000368168151134, -118.33053329235256), (36.112332058986816, -116.41628146511572), (41.918558839648114, -124.11280604358885), (35.404524190697195, -117.3016546253771)]"
7,182.6798993377967,226.58962893880442,782.1660490036011,1178.9195759296417,"PSO: [(np.float64(36.042757198945736), np.float64(-118.53892745692087)), (np.float64(37.247491588007044), np.float64(-117.57359304787362)), (np.float64(35.98678081708339), np.float64(-117.10675481976932)), (np.float64(38.642095000881895), np.float64(-121.94954439297369)), (np.float64(37.05465577474463), np.float64(-119.08406666579263)), (np.float64(36.56001986225835), np.float64(-118.06462723855068)), (np.float64(35.97946933602019), np.float64(-120.69056584270747)), (np.float64(38.82782840283692), np.float64(-120.07192419244791)), (np.float64(37.159169806545734), np.float64(-117.57323825190933)), (np.float64(36.06262100082907), np.float64(-119.99934822276091))]; GA: [(36.112573993955735, -116.30366099106996), (np.float64(37.2239052981325), -118.47737233870517), (41.60434113976735, -120.06844265506797), (41.88288137307898, -121.72983549850869), (40.592204799279244, -121.0192617449616), (34.721120780085606, -114.88190079564842), (41.83160611187644, -122.57026737303214), (41.63993209591585, -120.90541539149578), (39.02632643985001, -122.13031598265857), (32.70721734890206, -117.1165990265849)]"
8,160.0387110053231,238.19801646149227,446.03033804893494,1131.5996007919312,"PSO: [(np.float64(36.28985207724918), np.float64(-116.98194312879512)), (np.float64(35.70250264124489), np.float64(-119.16083018080037)), (np.float64(39.58357088008255), np.float64(-120.21733789466433)), (np.float64(37.3051271623246), np.float64(-119.36120022705066)), (np.float64(34.82482052141523), np.float64(-116.69301022364208)), (np.float64(36.74901944246271), np.float64(-117.73790922692947)), (np.float64(37.97220854329714), np.float64(-118.53713217736721)), (np.float64(38.254639053072545), np.float64(-121.27646306799606)), (np.float64(39.09370161462539), np.float64(-121.74518779826141)), (np.float64(40.73760774020479), np.float64(-120.28704797918247))]; GA: [(36.46124883935158, -118.19787706634666), (37.19418557650914, -117.65729137754295), (33.80377453221622, -116.98173594852197), (36.35807410997916, -117.48607418605762), (41.97261423291271, -120.28862035410641), (36.80299591197073, -118.4511739730171), (37.417147154521594, -118.32653347111946), (40.95566196445886, -121.8342482217247), (37.600161850559225, -118.48645823635093), (35.410338234453306, -116.37121804366451)]"
9,-10000000000000.0,252.70977490441769,238.19971466064453,1116.00532412529,"PSO: [(np.float64(38.63476646434922), np.float64(-121.53509212782836)), (np.float64(36.367624024102724), np.float64(-118.18335821063665)), (np.float64(39.38726834057053), np.float64(-115.98333424415583)), (np.float64(34.31884430198002), np.float64(-121.49101718329594)), (np.float64(37.010467926543285), np.float64(-119.8601159922916)), (np.float64(39.49423371520439), np.float64(-114.1312)), (np.float64(38.32613731071507), np.float64(-121.50369882228651)), (np.float64(42.0095), np.float64(-117.71687427723575)), (np.float64(37.39110120330084), np.float64(-124.06678732786959)), (np.float64(33.49131236423322), np.float64(-122.557518796152))]; GA: [(41.89005959486621, -120.05080946827643), (36.45845005940686, -118.9248155576088), (37.01238787496032, -119.31984048022936), (36.177115895495014, -116.71037889515918), (41.54478733588954, -123.09524687808117), (36.13276771231412, -119.26945648033941), (41.943939633364415, -122.96974575747757), (37.00663726514585, -118.30965955526466), (36.408963919729715, -116.4853757540598), (40.429775786866976, -120.26796114933278)]"
10,-10000000000000.0,200.16071334620784,304.0556848049164,1058.3265538215637,"PSO: [(np.float64(41.485477445405785), np.float64(-121.94764163022325)), (np.float64(38.5906833849884), np.float64(-121.72676222416239)), (np.float64(35.83888977981931), np.float64(-114.1312)), (np.float64(40.83388024342386), np.float64(-119.18135404616675)), (np.float64(41.02350228559746), np.float64(-118.9990750712148)), (np.float64(36.397171479978844), np.float64(-116.6258802824926)), (np.float64(34.51363833675036), np.float64(-117.14586934141249)), (np.float64(37.491016488446206), np.float64(-115.66081490188782)), (np.float64(38.219761720453405), np.float64(-117.46038009620311)), (np.float64(36.37603134351401), np.float64(-122.97241811832349))]; GA: [(41.98064061016306, -121.39640136034805), (40.76992865851659, -120.76300922926507), (40.74254749689018, -122.70540173711818), (34.799063265530954, -117.42631106286792), (36.32222620548228, -119.11062504065667), (36.51261451815351, -119.1617861986888), (36.984690692356416, -117.44181402628874), (38.96855276223181, -120.60325159891842), (41.36034994591664, -121.39123144168381), (40.10460528279857, -121.90353509406752)]"
