Run,Best Fitness,Time (s),Coordinates
1,62.61333195427259,44.07216787338257,"[(np.float64(39.11598953694115), np.float64(-121.68597074602125)), (np.float64(38.42485080552621), np.float64(-121.65022365379943)), (np.float64(34.52926232353903), np.float64(-118.85334364584612)), (np.float64(35.697842381957145), np.float64(-119.78146019351179)), (np.float64(34.968764613707364), np.float64(-119.63660856073324)), (np.float64(39.37561775833124), np.float64(-120.0684769161588)), (np.float64(37.2458087512534), np.float64(-120.73577686678357)), (np.float64(38.34459456799347), np.float64(-120.49171857630817)), (np.float64(34.731181624589254), np.float64(-120.49487235435927)), (np.float64(38.572568396946245), np.float64(-120.51975193309298))]"
2,59.51248144667437,41.06780433654785,"[(np.float64(34.65316171769945), np.float64(-116.93237648933096)), (np.float64(38.521720259419084), np.float64(-122.02925229071471)), (np.float64(35.48541310304903), np.float64(-119.87109802276133)), (np.float64(38.47056540677825), np.float64(-122.12139668589342)), (np.float64(37.93288421307934), np.float64(-120.73849756912482)), (np.float64(35.55923145602061), np.float64(-120.34384214827156)), (np.float64(38.56331139067861), np.float64(-120.51308466773492)), (np.float64(37.9542093091144), np.float64(-119.4395469996413)), (np.float64(37.25072205370163), np.float64(-121.3500155321059)), (np.float64(38.382613685746634), np.float64(-121.56640157232515))]"
3,75.43797512666256,53.039244174957275,"[(np.float64(34.39043103396893), np.float64(-118.55670433699251)), (np.float64(37.05397887643294), np.float64(-121.3582907442003)), (np.float64(37.20950897445719), np.float64(-121.11240178376185)), (np.float64(34.31390386266706), np.float64(-117.86877821959305)), (np.float64(37.601867480628), np.float64(-121.33132007805769)), (np.float64(38.49944100467977), np.float64(-122.08335473060123)), (np.float64(34.80770357335556), np.float64(-116.88958909356278)), (np.float64(34.94493329543181), np.float64(-117.00747163518811)), (np.float64(35.37002939178155), np.float64(-120.55196530800328)), (np.float64(36.02165882153558), np.float64(-117.90844132562809))]"
4,43.76855334096396,44.505983114242554,"[(np.float64(34.18696142047284), np.float64(-117.5973364156736)), (np.float64(34.34277471822436), np.float64(-117.81564000576704)), (np.float64(37.74288723240863), np.float64(-120.93558101475628)), (np.float64(34.460076384451234), np.float64(-118.47127147863635)), (np.float64(38.082186274305286), np.float64(-121.52733166219821)), (np.float64(39.03516645372196), np.float64(-122.11159367083195)), (np.float64(34.41706441470531), np.float64(-119.6327545335174)), (np.float64(38.97001982206793), np.float64(-121.57748924582793)), (np.float64(35.21952937064781), np.float64(-119.55045799865704)), (np.float64(34.974353811307864), np.float64(-118.21972757983251))]"
5,51.52885405830291,58.43195605278015,"[(np.float64(38.9198979914934), np.float64(-121.23595001375193)), (np.float64(38.98096131241457), np.float64(-121.20510858579672)), (np.float64(38.609209368618494), np.float64(-120.91766449751749)), (np.float64(37.77978089078553), np.float64(-121.93672669299971)), (np.float64(34.30947238350054), np.float64(-118.9362041213076)), (np.float64(34.60361958618318), np.float64(-118.86905614374912)), (np.float64(35.302721208191215), np.float64(-120.52211683030386)), (np.float64(36.47197738723785), np.float64(-117.3128791627619)), (np.float64(35.753892866608254), np.float64(-120.30744185620897)), (np.float64(34.10725962886399), np.float64(-116.64553646095742))]"
6,1000000.0,28.778460025787354,"[(np.float64(37.656906576018116), np.float64(-122.29822376260812)), (np.float64(34.14261241105774), np.float64(-119.83191467653299)), (np.float64(37.03444311102529), np.float64(-119.87212054990825)), (np.float64(34.30166530427069), np.float64(-117.75684865569636)), (np.float64(39.75955900587035), np.float64(-116.8410583312621)), (np.float64(41.26431086807558), np.float64(-119.12316481485804)), (np.float64(34.161354810436066), np.float64(-118.67002721255786)), (np.float64(35.30759327064272), np.float64(-123.6031757899051)), (np.float64(34.614484423127955), np.float64(-115.91847207637383)), (np.float64(38.54096844280297), np.float64(-123.7102793500258))]"
7,61.062570039568115,53.548903942108154,"[(np.float64(35.241452861730146), np.float64(-120.19487840821601)), (np.float64(35.499176684448), np.float64(-120.60271613942288)), (np.float64(36.80165048298597), np.float64(-119.50240438269097)), (np.float64(35.596260275617894), np.float64(-120.950220197437)), (np.float64(34.80354885350319), np.float64(-117.8866875116195)), (np.float64(38.64725368084469), np.float64(-120.15043600819058)), (np.float64(37.718323159570886), np.float64(-121.60839050970725)), (np.float64(38.34827157113999), np.float64(-120.85976786760047)), (np.float64(34.36591957667701), np.float64(-118.58442555098212)), (np.float64(38.57896281970951), np.float64(-120.02221254123404))]"
8,71.99328762489304,40.92364692687988,"[(np.float64(38.43912965289739), np.float64(-121.67936798227487)), (np.float64(34.20591112746284), np.float64(-117.19974168475494)), (np.float64(37.819860917630216), np.float64(-121.37539039776044)), (np.float64(39.30808893922919), np.float64(-120.20844453390141)), (np.float64(35.364296308664336), np.float64(-120.41256796117611)), (np.float64(37.790013044481604), np.float64(-119.99744429515965)), (np.float64(35.69487463546109), np.float64(-121.08472892157054)), (np.float64(38.847382645500936), np.float64(-120.97555016004904)), (np.float64(36.419822544069945), np.float64(-121.04084839283497)), (np.float64(36.59355401218564), np.float64(-119.293175962554))]"
9,64.08697549439633,71.49041891098022,"[(np.float64(35.350013524423865), np.float64(-120.76536229807394)), (np.float64(38.06135423246342), np.float64(-120.03341812227133)), (np.float64(35.90236332951791), np.float64(-118.21513656076486)), (np.float64(35.26727858071935), np.float64(-120.50010943856378)), (np.float64(37.849992742535406), np.float64(-119.15737472710367)), (np.float64(37.410201768808236), np.float64(-121.95392761192186)), (np.float64(35.382037890040664), np.float64(-120.39952541778577)), (np.float64(34.91068936457155), np.float64(-119.50961272386321)), (np.float64(38.09227441097336), np.float64(-121.48409335101304)), (np.float64(38.55951836951353), np.float64(-120.72817769053188))]"
10,65.08764319740894,70.40890598297119,"[(np.float64(35.67377541991567), np.float64(-119.52845117246959)), (np.float64(35.662325873909616), np.float64(-120.39922355449151)), (np.float64(36.236381859163274), np.float64(-119.93037373853761)), (np.float64(34.81522565123368), np.float64(-119.18735859574417)), (np.float64(38.87158415573936), np.float64(-120.88537525728138)), (np.float64(38.95905764022288), np.float64(-120.44371956273254)), (np.float64(35.28826942431394), np.float64(-117.8394612088258)), (np.float64(35.33609639630444), np.float64(-120.51606854454319)), (np.float64(38.433353886592876), np.float64(-122.16472235692655)), (np.float64(36.156881490533735), np.float64(-120.23041689011181))]"
